Date_time,city,state/province,country,UFO_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
09/01/2006 20:25,lancaster (cantsfield) (uk/england),,gb,light,600.0,10 mins,an object with no clear shape&#44 travelling fast&#44 low&#44 silent&#44 with a very bright light/glow that appeared out of nowhere,10/30/2006,54.066667,-2.833333
10/15/1998 22:30,dublin (south of),in,us,diamond,60,1 minute,One diamond shaped aircraft in the sky west of Richmond&#44Indiana flying from the SE to the NW in October&#44 1998.,1/17/2004,39.8122222,-85.2088889
3/21/2009 19:43,randolph,nj,,sphere,120,1-2 mins,White Sphere with Jet plane investigating nearby/ 2 photos of sphere/ chem trails left by jet planes in the area.,01/12/2012,40.847807,-74.574725
07/01/1985 22:00,great neck,ny,us,rectangle,600,10 minutes,Giant UFO sighting on Long Island in the mid 1980&#39s,7/17/2011,40.8005556,-73.7288889
3/31/2014 20:30,boca raton,fl,us,circle,120,2 minutes,A small blue light in the Western sky over North East Boca suddenly became very large. It then darted quickly to the north&#44 then drops.,04/04/2014,26.3583333,-80.0833333
10/21/1995 22:00,rochester,ny,us,disk,600,10 minutes,UFO followed me,12/03/2004,43.1547222,-77.6158333
11/26/2009 18:30,normantown,wv,us,unknown,240,3-4 minutes,Stationary&#44 star-like white lights suddenly approached and passed directly overhead,8/30/2013,38.8516667,-80.9366667
10/25/2010 23:30,amherst,va,us,unknown,7200,2hrs. plus,Our last encounters with ufo on amherst&#44 va farm road,04/03/2011,37.585,-79.0516667
07/04/2013 20:45,orange,ca,us,light,180,3 minutes,Light in the sky dissappears after slowly flying towards the area where i live.,7/14/2013,33.7877778,-117.8522222
06/07/1985 16:30,tulsa,ok,us,disk,300,5 minutes,Silver disk in the afternoon Tulsa Ok.,12/09/2000,36.1538889,-95.9925
05/02/2002 23:00,melbourne (vic&#44 australia),,au,sphere,300,5 minutes,Three orange spheres in trangular formation came and went.,5/14/2002,-37.813938,144.963425
2/15/2012 03:14,sedona,az,us,triangle,900,15 mins,3 triangle ufos appear over my pastures&#44 larger of 3 crafts emits beam over 1 of my pastures&#44 animals missing. 3 occurance,3/13/2012,34.8697222,-111.7602778
9/22/2003 20:00,boonville,ar,,light,2400.0,30-40 min,Two orange lights turning off and on opposite each other emitting smaller white lights and a jet like sound each time it turned on.,9/28/2003,35.140093,-93.921591
